,alg_name,dataset_name,Accuracy__test_median,Accuracy__test_mean,time__train_median,time__train_mean,Accuracy__test_mean_min,Accuracy__test_mean_max,normalized_Accuracy__test_mean,Accuracy_rank_mean,normalized_F1__test_mean,F1_rank_mean,F1__test_mean_min,F1__test_mean_max,normalized_Log Loss__test_mean,Log Loss_rank_mean,Log Loss__test_mean_min,Log Loss__test_mean_max,alg_type
1440,STG,openml__sonar__39,0.7857142857142857,0.7652380952380952,4.403650002999996,4.306872519400002,0.5719047619047618,0.8747619047619046,0.638364779874214,15.0,0.638364779874214,15.0,0.5719047619047618,0.8747619047619046,0.09768407672540322,5.0,0.31488517901800894,1.0983428729162659,neural
1441,STG,openml__spambase__43,0.95,0.9408855984155429,56.42292956500023,55.72450293050019,0.7920065075921909,0.9558846552862399,0.9084743324125227,9.0,0.9084743324125227,9.0,0.7920065075921909,0.9558846552862399,0.07319529344997984,5.0,0.13382947034743015,0.5285022690322961,neural
1442,STG,openml__splice__45,0.9169278996865204,0.9191222570532915,36.4919406534998,34.440999096,0.6849529780564263,0.9620689655172414,0.845022624434389,12.0,0.8448645847872045,12.0,0.6791817857646063,0.9618733142768049,0.2290220009310779,10.0,0.11753649872309231,0.8169443295694162,neural
1443,STG,openml__steel-plates-fault__146817,0.4510309278350515,0.45803859370869676,24.25300484050001,23.9736982484,0.34673010837959284,0.8011287338091462,0.24495779498426407,14.0,0.26514071804999184,15.0,0.17868093096229637,0.8020492675442688,0.04184916414259432,11.0,0.5095772809077902,22.56314271403027,neural
1444,STG,openml__synthetic_control__3512,0.8916666666666666,0.8883333333333333,8.069822744000021,8.09045935220002,0.875,0.9966666666666667,0.10958904109589017,17.0,0.08321396900319218,17.0,0.8731687590899799,0.9966583124477861,0.19300658379575272,16.0,0.044249837098440645,1.2555769737109346,neural
1445,STG,openml__tae__47,0.5,0.4654166666666667,2.2957520710000097,2.2192091815999957,0.3383333333333333,0.6558333333333334,0.40026246719160113,14.0,0.5045659660200976,14.0,0.27361636933328104,0.640336630961631,0.03895327635233576,9.0,0.8969469612941399,6.389012215672967,neural
1446,STG,openml__tic-tac-toe__49,0.9427083333333333,0.9425328947368421,10.993839193000099,11.086200045900023,0.6962280701754386,0.995811403508772,0.8221579679379254,13.0,0.8221579679379254,13.0,0.6962280701754386,0.995811403508772,0.17629029124399967,10.0,0.01064632257821266,0.8394792688555031,neural
1447,STG,openml__transplant__3748,1.0,0.9774725274725276,2.477433488000031,2.3720504111000036,0.8230769230769232,0.9923076923076923,0.9123376623376627,9.0,0.9123376623376627,9.0,0.8230769230769232,0.9923076923076923,0.1491845578147965,10.0,0.01834068888948974,0.6749008967326238,neural
1448,STG,openml__vehicle__53,0.4523809523809524,0.4610084033613445,11.030448164500058,10.821876089199955,0.40894957983193275,0.8380532212885153,0.1213199294993146,17.0,0.06392438776748403,17.0,0.3611388695240536,0.8378855942751752,0.46186366142537455,15.0,0.3708180087702053,2.02465799009172,neural
1449,STG,openml__visualizing_environmental__3602,0.7272727272727273,0.703030303030303,2.2951084904999988,2.2715715578000095,0.5765151515151514,0.7393939393939395,0.7767441860465111,2.0,0.7767441860465111,2.0,0.5765151515151514,0.7393939393939395,0.005853075691366365,7.0,0.562685507000424,10.190618097015385,neural
