dataset_fold_id,Accuracy__test_neural,Accuracy__test_non-neural,F1__test_neural,F1__test_non-neural,MSE__test_neural,MSE__test_non-neural,Log Loss__test_neural,Log Loss__test_non-neural,alg_name_neural,alg_name_non-neural,time__train_neural,time__train_non-neural,time__test_neural,time__test_non-neural
openml__satimage__2074__fold_2,0.9206842923794712,0.9237947122861586,0.9180106566729488,0.9219088535056924,,,0.2224259859442457,0.2348574581749879,DANet,LightGBM,189.4293147110002,5.442278250000015,0.0212570759977097,0.0446148760000255
openml__satimage__2074__fold_3,0.9144634525660964,0.9206842923794712,0.9133742044971505,0.9187564050199978,,,0.2502581790858967,0.2370563566943057,DANet,SVM,347.8267371559996,5.958721272000275,0.049652927002171,0.2730602659999022
openml__satimage__2074__fold_4,0.9035769828926904,0.906687402799378,0.9008876921483596,0.9047415393992538,,,0.2299372778094305,0.2792921821452385,DANet,LightGBM,352.8443994340014,7.794973341000002,0.0523733170011837,0.0460766830000238
openml__satimage__2074__fold_5,0.9144634525660964,0.917573872472784,0.9130232358057504,0.9173007868312936,,,0.2209145953746067,0.2191479506660558,STG,LightGBM,75.18501026000013,6.24532389899997,0.0031780299996171,0.0334267630000226
openml__satimage__2074__fold_6,0.9346811819595644,0.926905132192846,0.9348286578585076,0.926540488237354,,,0.2186049863158745,0.1842901845563673,DANet,LightGBM,596.8592514929987,10.35628300999997,0.0529942680004751,0.0681319550000125
openml__satimage__2074__fold_7,0.9237947122861586,0.9237947122861586,0.920803584137704,0.9215155946079494,,,0.2044989353618776,0.21878480665324,DANet,SVM,396.51587444199686,6.053637299000002,0.0530043919970921,0.2740761370000655
openml__satimage__2074__fold_8,0.9097978227060654,0.8973561430793157,0.9076015612682494,0.8953211298357037,,,0.2534858727335178,0.2526064691759713,DANet,SVM,389.1039674470012,5.896256538000216,0.0531212189998768,0.2728409960000135
openml__satimage__2074__fold_9,0.91601866251944,0.9144634525660964,0.91566185113008,0.9125275166681146,,,0.2430694152193569,0.2759407807728862,DANet,LightGBM,506.2436542809992,2.9153872030000016,0.0380486770009156,0.0098871799999997
openml__scene__3485__fold_0,0.995850622406639,0.991701244813278,0.995850622406639,0.991701244813278,,,0.0252199328449427,0.0480770796618594,TabNet,CatBoost,28.79777564899996,218.11467732100027,0.0312342300003365,0.0063102469994191
openml__scene__3485__fold_1,0.975103734439834,0.979253112033195,0.975103734439834,0.979253112033195,,,0.0936795223206745,0.1252236302083157,SAINT,XGBoost,974.336043613,0.2909629269999954,0.2098325160000058,0.0072186529999953
