,alg_name,dataset_name,Accuracy__test_median,Accuracy__test_mean,time__train_median,time__train_mean,dataset_name_count,Accuracy__test_mean_min,Accuracy__test_mean_max,normalized_Accuracy__test_mean,Accuracy_rank_mean,Accuracy_rank_median,F1__test_median,F1__test_mean,F1__test_mean_min,F1__test_mean_max,normalized_F1__test_mean,F1_rank_mean,F1_rank_median,Log Loss__test_median,Log Loss__test_mean,Log Loss__test_mean_min,Log Loss__test_mean_max,normalized_Log Loss__test_mean,Log Loss_rank_mean,Log Loss_rank_median
5414,rtdl_MLP,openml__christine__168908,0.7158671586715867,0.714287468198157,16.431116657500038,16.290946726600012,10,0.5,0.7362448929480052,0.9070565104038851,16.0,18.0,0.7158671586715867,0.714287468198157,0.5,0.7362448929480052,0.9070565104038851,16.0,18.0,0.5779811051183181,0.5818700948229846,0.533344734988466,17.26938819745534,0.0028994523074312075,18.0,20.0
5415,rtdl_MLP,openml__churn__167141,0.911,0.9106,19.578420925000273,19.168979391500034,10,0.8518000000000001,0.9629999999999999,0.5287769784172661,17.0,17.0,0.911,0.9106,0.8517999999999999,0.9629999999999999,0.528776978417267,17.0,17.0,0.23588335296092555,0.23679450118633594,0.14905797691189215,1.4381560941618514,0.06806039284396183,16.0,16.0
5416,rtdl_MLP,openml__cjs__14967,1.0,0.9989285714285714,11.685863713499934,10.867950939399986,10,0.3068766001024065,1.0,0.9984542022797284,7.0,1.0,1.0,0.9989283263506812,0.2787683645812597,1.0,0.9985141061530162,8.0,1.0,6.078868863949653e-06,0.025509212747627408,1.769621481175902e-05,4.390943905964464,0.005805498729678957,13.0,3.0
5417,rtdl_MLP,openml__climate-model-simulation-crashes__146819,0.9444444444444444,0.95,6.151114349499991,5.145859680799998,10,0.1981481481481481,0.9574074074074075,0.9902439024390243,4.0,4.0,0.9444444444444444,0.95,0.1981481481481481,0.9574074074074075,0.9902439024390243,4.0,4.0,0.20901030793559217,0.24652207398807008,0.13678429415392906,2.12755428100516,0.05512328423622234,23.0,21.0
5418,rtdl_MLP,openml__cmc__23,0.5627413127413128,0.5607602500459643,5.8984833760000015,5.796302242700011,10,0.46439143224857504,0.5621116013973156,0.9861712135465664,2.0,3.0,0.5633438891303046,0.5585812552788898,0.4453721462229585,0.562705777960297,0.9648479074555514,3.0,1.0,1.2903034440603611,1.2289860176976357,0.897748495621933,2.3446514858690133,0.22892863191825938,33.0,33.0
5419,rtdl_MLP,openml__cnae-9__9981,0.9537037037037036,0.9546296296296296,3.8881865655000034,4.427942784999976,10,0.48611111111111105,0.9574074074074075,0.9941060903732807,2.0,8.0,0.9579864418994852,0.954565358420431,0.47319178152558034,0.9570000246666913,0.99496770408364,3.0,6.0,0.1544593724014408,0.16575586928870367,0.1397601401594839,1.4181823141844725,0.02033422890919885,4.0,4.0
5420,rtdl_MLP,openml__colic__25,0.8355855855855856,0.8313813813813814,2.471727439000034,2.7591093143000096,10,0.627927927927928,0.8722972972972973,0.8325652841781874,14.0,17.0,0.8355855855855856,0.8313813813813814,0.627927927927928,0.8722972972972973,0.8325652841781874,14.0,17.0,0.4450024769420779,0.44215616285084147,0.3660521277593877,1.5034161833767297,0.06691264306761108,10.0,13.0
5421,rtdl_MLP,openml__colic__27,0.8355855855855856,0.8098348348348349,3.1769937529999837,3.4339363348999656,10,0.6304804804804804,0.8505255255255255,0.8150801774138522,24.0,15.0,0.8355855855855856,0.8098348348348349,0.6304804804804804,0.8505255255255255,0.8150801774138522,24.0,15.0,0.4036800664742603,0.44931365062831546,0.3844512063590906,2.8512132121244216,0.02629456920352591,15.0,10.0
5422,rtdl_MLP,openml__collins__3567,0.62,0.626,6.4019795730000055,6.250649245900008,10,0.37,1.0,0.40634920634920635,30.0,30.0,0.5313740031897927,0.5458388676729113,0.23329290469088693,1.0,0.40764715090580367,30.0,31.0,4.981219188536634,4.960896734943998,1.4660717084780227e-14,11.14963528276762,0.44493802793812726,33.0,33.0
5423,rtdl_MLP,openml__connect-4__146195,0.8512433392539964,0.8521988974682262,206.8082632894993,210.02722699959995,10,0.6583033597024155,0.8660094182806061,0.933509302006321,7.0,7.0,0.8423500517516955,0.8423601011820061,0.5226586707601492,0.8577110005407056,0.9541835767303763,6.0,6.0,1.1400784086289182,1.1373901234923738,0.3443932559244204,11.196973365567116,0.07306989301681013,22.0,22.0
5424,rtdl_MLP,openml__credit-approval__29,0.8478260869565217,0.8521739130434783,4.97147165399997,5.251519381799999,10,0.6333333333333333,0.8768115942028987,0.8988095238095237,18.0,22.0,0.8478260869565217,0.8521739130434783,0.6333333333333333,0.8768115942028987,0.8988095238095237,18.0,22.0,0.39304217170281663,0.3994959193021818,0.31434855611476326,1.3555833218990396,0.08177537476217869,18.0,23.0
5425,rtdl_MLP,openml__credit-g__31,0.755,0.75,7.56202775899996,7.303004457999947,10,0.689,0.767,0.782051282051282,5.0,3.0,0.755,0.75,0.689,0.767,0.782051282051282,5.0,3.0,0.5250706916721537,0.5257244619371486,0.49461737970728425,1.4892429761494124,0.03127516760189703,10.0,9.0
5426,rtdl_MLP,openml__cylinder-bands__14954,0.5833333333333333,0.6203703703703705,5.167059170500002,5.276018996699996,10,0.42222222222222217,0.825925925925926,0.4908256880733948,27.0,29.0,0.5833333333333333,0.6203703703703705,0.42222222222222217,0.825925925925926,0.4908256880733948,27.0,29.0,0.6744251292612817,0.6505995331401074,0.39541607788856636,19.955737472615063,0.013045974557470157,20.0,25.0
5427,rtdl_MLP,openml__dermatology__35,0.945945945945946,0.9397897897897899,5.502081464499952,5.562928841199985,10,0.7513513513513514,0.9808558558558559,0.8210664049721952,30.0,30.0,0.9456163206163204,0.9376801599265366,0.7415627718640686,0.9803048792179225,0.8214612421586391,30.0,30.0,0.064032079382769,0.26629715715036995,0.05720547909224187,1.1141330458122574,0.1978297138251455,29.0,9.0
5428,rtdl_MLP,openml__diabetes__37,0.6753246753246753,0.6795454545454546,3.8416818740000167,4.429464598000011,10,0.5198735475051264,0.7733424470266576,0.6299467403761884,32.0,31.0,0.6753246753246753,0.6795454545454545,0.5198735475051264,0.7733424470266576,0.6299467403761879,32.0,31.0,0.6309917665997637,0.6029714177456438,0.4826587770266064,1.850827465941077,0.08793699321864729,27.0,35.0
5429,rtdl_MLP,openml__dilbert__168909,0.9735,0.9743999999999999,38.157042456,36.28530454179994,10,0.6338,0.9883,0.960789844851904,12.0,12.0,0.9734637076042532,0.9743961887555809,0.6369517671612785,0.9879027568987709,0.9615143751174692,12.0,12.0,0.12727575720011425,0.12748930502278927,0.03848718996943638,1.153227801438938,0.0798410985816927,13.0,13.0
5430,rtdl_MLP,openml__dna__167140,0.9513317955087637,0.9504081149819601,7.855443670999989,8.04104178289997,10,0.828329488771909,0.9610752942568166,0.9196420614881929,16.0,14.0,0.9527617174154877,0.9510859671498206,0.8303895654832454,0.9605470891239282,0.9273102183456853,17.0,14.0,0.21298495561677283,0.21338163938468785,0.11944780769263978,0.7196292164788384,0.15650906595394046,22.0,22.0
5431,rtdl_MLP,openml__dresses-sales__125920,0.6,0.618,2.9067588950000527,3.6169614460000235,10,0.492,0.632,0.8999999999999999,6.0,10.0,0.6,0.618,0.492,0.632,0.8999999999999999,6.0,10.0,0.6740270692110062,0.6896509948484599,0.6613733446138725,2.0999703396074216,0.01965640852371876,22.0,9.0
5432,rtdl_MLP,openml__ecoli__145977,0.7611408199643493,0.7681818181818182,5.90260277699997,5.702321204399989,10,0.4256684491978609,0.8811051693404635,0.752054794520548,27.0,27.0,0.6905176072518873,0.6994352494197695,0.2543311812152327,0.8717904517230373,0.7208638520213307,27.0,27.0,2.150690200884141,2.141864927605947,0.4780653914987025,11.419077257736388,0.15206998735112237,27.0,28.0
5433,rtdl_MLP,openml__eeg-eye-state__14951,0.5514018691588785,0.5511348464619493,16.818112594499908,17.426862166099983,10,0.4487983978638185,0.9644859813084112,0.1984466019417476,33.0,25.0,0.5514018691588785,0.5511348464619493,0.4487983978638185,0.9644859813084112,0.1984466019417476,33.0,25.0,0.6878535856153363,0.6908402031628248,0.12913465568878885,19.037828884698087,0.029706205022464207,31.0,26.0
5434,rtdl_MLP,openml__electricity__219,0.8364779123827364,0.8371072340138728,130.13137554600144,130.96929058610016,10,0.6252870146483293,0.9381400474869308,0.6770598240446655,9.0,9.0,0.8364779123827364,0.8371072340138728,0.6252870146483293,0.9381400474869308,0.6770598240446655,9.0,9.0,0.357971147575248,0.35774839410199993,0.16226165754863073,0.6773212493301616,0.37954197858388283,7.0,7.0
5435,rtdl_MLP,openml__elevators__3711,0.7572289156626506,0.7565518130387735,35.809344488500074,34.20850869900005,10,0.6861872444570325,0.903126792885829,0.3243510419900959,23.0,23.0,0.7572289156626506,0.7565518130387735,0.6861872444570325,0.903126792885829,0.3243510419900959,23.0,23.0,0.5144988380445459,0.5166254513482553,0.23887561586407266,1.0163597604128813,0.35724180027538316,21.0,24.0
5436,rtdl_MLP,openml__eucalyptus__2079,0.3332099222510181,0.33954091077378745,4.066186110000004,3.7511874305999946,10,0.25124028137726767,0.6750833024805628,0.20833333333333323,32.0,32.0,0.20048635408224447,0.21079627580136379,0.10485187058655496,0.6668887765384953,0.18850079788864987,33.0,33.0,17.885437403731146,16.994036552309687,0.7150712941921518,25.861244497119124,0.6473734642145347,34.0,34.0
5437,rtdl_MLP,openml__eye_movements__3897,0.4392138939670932,0.4433969033453705,23.276067905000218,23.733849906100023,10,0.3812172692771517,0.7625285387650513,0.16306791601445703,31.0,31.0,0.3708086943349444,0.3878210999486872,0.21065237945540924,0.7631797774307264,0.32065146659241783,34.0,34.0,16.711479446500405,16.542446488958934,0.567585490946871,21.36952656488572,0.7679504975632171,35.0,35.0
5438,rtdl_MLP,openml__fabert__168910,0.659380935247555,0.6641932782031167,20.712665209499903,21.749403364799935,10,0.33300616970826596,0.7109347167006806,0.8763220220606884,18.0,18.0,0.6565390717555737,0.6610864775646771,0.2259287191501314,0.7059514571855094,0.9065357199443211,14.0,16.0,3.274089062502485,3.3043370961360687,0.7733584995090529,5.651880866554803,0.518800244460021,30.0,30.0
5439,rtdl_MLP,openml__fertility__9984,0.9,0.8800000000000001,2.230248034499999,2.3932703655,10,0.42000000000000004,0.8800000000000001,1.0,1.0,1.0,0.9,0.8800000000000001,0.42000000000000004,0.8800000000000001,1.0,1.0,1.0,0.41735764138866216,0.635109241812329,0.3652273532191467,8.602917366549374,0.03276184077774953,28.0,26.0
5440,rtdl_MLP,openml__first-order-theorem-proving__9985,0.5490196078431373,0.5483866050511857,20.42371579749988,19.69373611519994,10,0.4293893007284747,0.622752265117722,0.6154089781286388,15.0,14.0,0.5047649830889882,0.5027879898098166,0.27068562759484527,0.6091494795809371,0.6857522918710649,20.0,20.0,4.693537789719386,4.628747502016593,1.0771232054094204,16.48835571673872,0.23045686281069722,31.0,31.0
5441,rtdl_MLP,openml__fl2000__3566,0.5714285714285714,0.6142857142857142,1.4883627640000014,1.5585658028999991,10,0.17619047619047618,0.8547619047619047,0.6456140350877192,24.0,25.0,0.4155844155844156,0.4688744588744589,0.1125386518243661,0.8125245653817081,0.5090613970203876,26.0,27.0,14.565376554216657,14.397373106517515,0.596529882628515,21.29891211191813,0.6666306839008915,33.0,33.0
5442,rtdl_MLP,openml__fri_c0_100_5__3620,0.9,0.8699999999999999,4.7392910340000185,4.372650507000003,10,0.45999999999999996,0.9200000000000002,0.8913043478260865,6.0,1.0,0.9,0.8700000000000001,0.4600000000000001,0.9200000000000002,0.8913043478260869,6.0,1.0,0.43305383612337206,0.8579933033399504,0.2701603808248162,7.693791163548086,0.07918401921108133,33.0,23.0
5443,rtdl_MLP,openml__fri_c3_100_5__3779,0.8500000000000001,0.82,4.698698853,4.1036007267000105,10,0.52,0.89,0.8108108108108106,6.0,5.0,0.8500000000000001,0.8200000000000001,0.52,0.89,0.810810810810811,6.0,5.0,0.5194572424940823,0.5746669203117096,0.30291682092094285,7.994757806795296,0.0353296564359327,16.0,18.0
5444,rtdl_MLP,openml__gas-drift-different-concentrations__9987,0.7286125089863408,0.7409777138749101,42.70327614749999,37.00710245389989,10,0.1775700934579439,0.9951114306254494,0.6891487864931409,25.0,25.0,0.6467430884232621,0.6704248093245376,0.05842056045664358,0.9951093351961611,0.6533698976355146,25.0,25.0,9.317070832965175,8.872988958351943,0.024265132291442733,28.355459235234157,0.31233148147262163,26.0,26.0
