dataset,alg,experiment
openml__artificial-characters__14964,XGBoost,algs-gpu-1-datasets-b-v3
openml__artificial-characters__14964,XGBoost,algs-gpu-1-datasets-b
openml__artificial-characters__14964,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__artificial-characters__14964,rtdl_MLP,algs-gpu-2-datasets-b
openml__artificial-characters__14964,rtdl_ResNet,algs-gpu-2-datasets-b
openml__audiology__7,CatBoost,algs-gpu-1-datasets-b-v2
openml__audiology__7,CatBoost,algs-gpu-1-datasets-b-v3
openml__audiology__7,CatBoost,algs-gpu-1-datasets-b
openml__audiology__7,DANet,algs-gpu-2-datasets-b
openml__audiology__7,DecisionTree,algs-cpu-1-datasets-b
openml__audiology__7,DecisionTree,all-datasets-b
openml__audiology__7,KNN,algs-cpu-1-datasets-b
openml__audiology__7,LightGBM,algs-cpu-1-datasets-b
openml__audiology__7,LinearModel,algs-cpu-1-datasets-b
openml__audiology__7,LinearModel,all-datasets-b
openml__audiology__7,MLP,algs-gpu-1-datasets-b-v2
openml__audiology__7,MLP,algs-gpu-1-datasets-b-v3
openml__audiology__7,MLP,algs-gpu-1-datasets-b
openml__audiology__7,NODE,algs-gpu-2-datasets-b
openml__audiology__7,RandomForest,algs-cpu-1-datasets-b
openml__audiology__7,STG,algs-gpu-2-datasets-b
openml__audiology__7,SVM,algs-cpu-1-datasets-b
openml__audiology__7,TabNet,algs-gpu-1-datasets-b-v3
openml__audiology__7,TabNet,algs-gpu-1-datasets-b
openml__audiology__7,TabTransformer,algs-gpu-2-datasets-b
openml__audiology__7,VIME,algs-gpu-1-datasets-b-v3
openml__audiology__7,VIME,algs-gpu-1-datasets-b
openml__audiology__7,XGBoost,algs-gpu-1-datasets-b-v2
openml__audiology__7,XGBoost,algs-gpu-1-datasets-b-v3
openml__audiology__7,XGBoost,algs-gpu-1-datasets-b
openml__audiology__7,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__audiology__7,rtdl_MLP,algs-gpu-2-datasets-b
openml__audiology__7,rtdl_ResNet,algs-gpu-2-datasets-b
openml__autos__9,CatBoost,algs-gpu-1-datasets-b-v2
openml__autos__9,CatBoost,algs-gpu-1-datasets-b-v3
openml__autos__9,CatBoost,algs-gpu-1-datasets-b
openml__autos__9,DANet,algs-gpu-2-datasets-b
openml__autos__9,DecisionTree,algs-cpu-1-datasets-b
openml__autos__9,DecisionTree,all-datasets-b
openml__autos__9,KNN,algs-cpu-1-datasets-b
openml__autos__9,LightGBM,algs-cpu-1-datasets-b
openml__autos__9,LinearModel,algs-cpu-1-datasets-b
openml__autos__9,LinearModel,all-datasets-b
openml__autos__9,MLP,algs-gpu-1-datasets-b-v2
openml__autos__9,MLP,algs-gpu-1-datasets-b-v3
openml__autos__9,MLP,algs-gpu-1-datasets-b
openml__autos__9,NODE,algs-gpu-2-datasets-b
openml__autos__9,RandomForest,algs-cpu-1-datasets-b
openml__autos__9,STG,algs-gpu-2-datasets-b
openml__autos__9,SVM,algs-cpu-1-datasets-b
openml__autos__9,TabNet,algs-gpu-1-datasets-b-v3
openml__autos__9,TabNet,algs-gpu-1-datasets-b
openml__autos__9,TabTransformer,algs-gpu-2-datasets-b
openml__autos__9,VIME,algs-gpu-1-datasets-b-v3
openml__autos__9,VIME,algs-gpu-1-datasets-b
openml__autos__9,XGBoost,algs-gpu-1-datasets-b-v2
openml__autos__9,XGBoost,algs-gpu-1-datasets-b-v3
openml__autos__9,XGBoost,algs-gpu-1-datasets-b
openml__autos__9,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__autos__9,rtdl_MLP,algs-gpu-2-datasets-b
openml__autos__9,rtdl_ResNet,algs-gpu-2-datasets-b
openml__balance-scale__11,CatBoost,gpu-expt-a
openml__balance-scale__11,DANet,algs-gpu-2-datasets-a
openml__balance-scale__11,DecisionTree,cpu-expt
openml__balance-scale__11,KNN,cpu-expt
openml__balance-scale__11,LightGBM,cpu-expt
openml__balance-scale__11,LinearModel,cpu-expt
openml__balance-scale__11,MLP,gpu-expt-a
openml__balance-scale__11,NODE,algs-gpu-2-datasets-a
openml__balance-scale__11,RandomForest,cpu-expt
openml__balance-scale__11,SAINT,algs-gpu-2-datasets-a
openml__balance-scale__11,STG,algs-gpu-2-datasets-a
openml__balance-scale__11,SVM,cpu-expt
openml__balance-scale__11,TabNet,gpu-expt-a
openml__balance-scale__11,TabTransformer,algs-gpu-2-datasets-a
openml__balance-scale__11,VIME,gpu-expt-a
openml__balance-scale__11,XGBoost,gpu-expt-a
openml__balance-scale__11,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__balance-scale__11,rtdl_MLP,algs-gpu-2-datasets-a
openml__balance-scale__11,rtdl_ResNet,algs-gpu-2-datasets-a
openml__bank-marketing__14965,CatBoost,gpu-expt-a
openml__bank-marketing__14965,DANet,algs-gpu-2-datasets-a
openml__bank-marketing__14965,DecisionTree,cpu-expt
openml__bank-marketing__14965,DeepFM,algs-gpu-2-datasets-a
openml__bank-marketing__14965,KNN,cpu-expt
openml__bank-marketing__14965,LightGBM,cpu-expt
openml__bank-marketing__14965,LinearModel,cpu-expt
openml__bank-marketing__14965,MLP,gpu-expt-a
openml__bank-marketing__14965,NAM,algs-gpu-2-datasets-a
openml__bank-marketing__14965,NODE,algs-gpu-2-datasets-a
openml__bank-marketing__14965,RandomForest,cpu-expt
openml__bank-marketing__14965,SAINT,algs-gpu-2-datasets-a
openml__bank-marketing__14965,STG,algs-gpu-2-datasets-a
openml__bank-marketing__14965,SVM,cpu-expt
openml__bank-marketing__14965,TabNet,gpu-expt-a
openml__bank-marketing__14965,TabTransformer,algs-gpu-2-datasets-a
openml__bank-marketing__14965,VIME,gpu-expt-a
openml__bank-marketing__14965,XGBoost,gpu-expt-a
openml__bank-marketing__14965,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__bank-marketing__14965,rtdl_ResNet,algs-gpu-2-datasets-a
openml__bank-marketing__9899,CatBoost,gpu-expt-a
openml__bank-marketing__9899,DANet,algs-gpu-2-datasets-a
openml__bank-marketing__9899,DecisionTree,cpu-expt
openml__bank-marketing__9899,DeepFM,algs-gpu-2-datasets-a
openml__bank-marketing__9899,KNN,cpu-expt
openml__bank-marketing__9899,LightGBM,cpu-expt
openml__bank-marketing__9899,LinearModel,cpu-expt
openml__bank-marketing__9899,MLP,gpu-expt-a
openml__bank-marketing__9899,NAM,algs-gpu-2-datasets-a
openml__bank-marketing__9899,NODE,algs-gpu-2-datasets-a
openml__bank-marketing__9899,RandomForest,cpu-expt
openml__bank-marketing__9899,STG,algs-gpu-2-datasets-a
openml__bank-marketing__9899,TabNet,gpu-expt-a
openml__bank-marketing__9899,TabTransformer,algs-gpu-2-datasets-a
openml__bank-marketing__9899,VIME,gpu-expt-a
openml__bank-marketing__9899,XGBoost,gpu-expt-a
openml__bank-marketing__9899,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__bank-marketing__9899,rtdl_MLP,algs-gpu-2-datasets-a
openml__bank-marketing__9899,rtdl_ResNet,algs-gpu-2-datasets-a
openml__banknote-authentication__10093,CatBoost,gpu-expt-a
openml__banknote-authentication__10093,DANet,algs-gpu-2-datasets-a
openml__banknote-authentication__10093,DecisionTree,cpu-expt
openml__banknote-authentication__10093,DeepFM,algs-gpu-2-datasets-a
openml__banknote-authentication__10093,KNN,cpu-expt
openml__banknote-authentication__10093,LightGBM,cpu-expt
openml__banknote-authentication__10093,LinearModel,cpu-expt
openml__banknote-authentication__10093,MLP,gpu-expt-a
openml__banknote-authentication__10093,NAM,algs-gpu-2-datasets-a
openml__banknote-authentication__10093,NODE,algs-gpu-2-datasets-a
openml__banknote-authentication__10093,RandomForest,cpu-expt
openml__banknote-authentication__10093,SAINT,algs-gpu-2-datasets-a
openml__banknote-authentication__10093,STG,algs-gpu-2-datasets-a
openml__banknote-authentication__10093,SVM,cpu-expt
openml__banknote-authentication__10093,TabNet,gpu-expt-a
openml__banknote-authentication__10093,TabTransformer,algs-gpu-2-datasets-a
openml__banknote-authentication__10093,VIME,gpu-expt-a
openml__banknote-authentication__10093,XGBoost,gpu-expt-a
openml__banknote-authentication__10093,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__banknote-authentication__10093,rtdl_ResNet,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__10101,CatBoost,gpu-expt-a
openml__blood-transfusion-service-center__10101,DANet,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__10101,DecisionTree,cpu-expt
openml__blood-transfusion-service-center__10101,DeepFM,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__10101,KNN,cpu-expt
openml__blood-transfusion-service-center__10101,LightGBM,cpu-expt
openml__blood-transfusion-service-center__10101,LinearModel,cpu-expt
openml__blood-transfusion-service-center__10101,MLP,gpu-expt-a
openml__blood-transfusion-service-center__10101,NAM,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__10101,NODE,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__10101,RandomForest,cpu-expt
openml__blood-transfusion-service-center__10101,SAINT,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__10101,STG,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__10101,SVM,cpu-expt
openml__blood-transfusion-service-center__10101,TabNet,gpu-expt-a
openml__blood-transfusion-service-center__10101,TabTransformer,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__10101,VIME,gpu-expt-a
openml__blood-transfusion-service-center__10101,XGBoost,gpu-expt-a
openml__blood-transfusion-service-center__10101,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__10101,rtdl_MLP,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__10101,rtdl_ResNet,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__145836,CatBoost,gpu-expt-a
openml__blood-transfusion-service-center__145836,DANet,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__145836,DecisionTree,cpu-expt
openml__blood-transfusion-service-center__145836,DeepFM,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__145836,KNN,cpu-expt
openml__blood-transfusion-service-center__145836,LightGBM,cpu-expt
openml__blood-transfusion-service-center__145836,LinearModel,cpu-expt
openml__blood-transfusion-service-center__145836,MLP,gpu-expt-a
openml__blood-transfusion-service-center__145836,NAM,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__145836,NODE,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__145836,RandomForest,cpu-expt
openml__blood-transfusion-service-center__145836,SAINT,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__145836,STG,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__145836,SVM,cpu-expt
openml__blood-transfusion-service-center__145836,TabNet,gpu-expt-a
openml__blood-transfusion-service-center__145836,TabTransformer,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__145836,VIME,gpu-expt-a
openml__blood-transfusion-service-center__145836,XGBoost,gpu-expt-a
openml__blood-transfusion-service-center__145836,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__blood-transfusion-service-center__145836,rtdl_MLP,algs-gpu-2-datasets-a
openml__bodyfat__5514,CatBoost,algs-gpu-1-datasets-b-v2
openml__bodyfat__5514,CatBoost,algs-gpu-1-datasets-b-v3
openml__bodyfat__5514,CatBoost,algs-gpu-1-datasets-b
openml__bodyfat__5514,DANet,algs-gpu-2-datasets-b
openml__bodyfat__5514,DecisionTree,algs-cpu-1-datasets-b
openml__bodyfat__5514,DecisionTree,all-datasets-b
openml__bodyfat__5514,DeepFM,algs-gpu-2-datasets-b
openml__bodyfat__5514,KNN,algs-cpu-1-datasets-b
openml__bodyfat__5514,LightGBM,algs-cpu-1-datasets-b
openml__bodyfat__5514,LinearModel,algs-cpu-1-datasets-b
openml__bodyfat__5514,LinearModel,all-datasets-b
openml__bodyfat__5514,MLP,algs-gpu-1-datasets-b-v2
openml__bodyfat__5514,MLP,algs-gpu-1-datasets-b-v3
openml__bodyfat__5514,MLP,algs-gpu-1-datasets-b
openml__bodyfat__5514,NAM,algs-gpu-2-datasets-b
openml__bodyfat__5514,NODE,algs-gpu-2-datasets-b
openml__bodyfat__5514,RandomForest,algs-cpu-1-datasets-b
openml__bodyfat__5514,STG,algs-gpu-2-datasets-b
openml__bodyfat__5514,SVM,algs-cpu-1-datasets-b
openml__bodyfat__5514,TabNet,algs-gpu-1-datasets-b-v3
openml__bodyfat__5514,TabNet,algs-gpu-1-datasets-b
openml__bodyfat__5514,TabTransformer,algs-gpu-2-datasets-b
openml__bodyfat__5514,VIME,algs-gpu-1-datasets-b-v3
openml__bodyfat__5514,VIME,algs-gpu-1-datasets-b
openml__bodyfat__5514,XGBoost,algs-gpu-1-datasets-b-v2
openml__bodyfat__5514,XGBoost,algs-gpu-1-datasets-b-v3
openml__bodyfat__5514,XGBoost,algs-gpu-1-datasets-b
openml__breast-cancer__145799,CatBoost,gpu-expt-a
openml__breast-cancer__145799,DANet,algs-gpu-2-datasets-a
openml__breast-cancer__145799,DecisionTree,cpu-expt
openml__breast-cancer__145799,DeepFM,algs-gpu-2-datasets-a
openml__breast-cancer__145799,KNN,cpu-expt
openml__breast-cancer__145799,LightGBM,cpu-expt
openml__breast-cancer__145799,LinearModel,cpu-expt
openml__breast-cancer__145799,MLP,gpu-expt-a
openml__breast-cancer__145799,NAM,algs-gpu-2-datasets-a
openml__breast-cancer__145799,NODE,algs-gpu-2-datasets-a
openml__breast-cancer__145799,RandomForest,cpu-expt
openml__breast-cancer__145799,SAINT,algs-gpu-2-datasets-a
openml__breast-cancer__145799,STG,algs-gpu-2-datasets-a
openml__breast-cancer__145799,SVM,cpu-expt
openml__breast-cancer__145799,TabNet,gpu-expt-a
openml__breast-cancer__145799,TabTransformer,algs-gpu-2-datasets-a
openml__breast-cancer__145799,VIME,gpu-expt-a
openml__breast-cancer__145799,XGBoost,gpu-expt-a
openml__breast-cancer__145799,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__breast-cancer__145799,rtdl_MLP,algs-gpu-2-datasets-a
openml__breast-cancer__145799,rtdl_ResNet,algs-gpu-2-datasets-a
openml__breast-w__15,CatBoost,gpu-expt-a
openml__breast-w__15,DANet,algs-gpu-2-datasets-a
openml__breast-w__15,DecisionTree,cpu-expt
openml__breast-w__15,DeepFM,algs-gpu-2-datasets-a
openml__breast-w__15,KNN,cpu-expt
openml__breast-w__15,LightGBM,cpu-expt
openml__breast-w__15,LinearModel,cpu-expt
openml__breast-w__15,MLP,gpu-expt-a
openml__breast-w__15,NAM,algs-gpu-2-datasets-a
openml__breast-w__15,NODE,algs-gpu-2-datasets-a
openml__breast-w__15,RandomForest,cpu-expt
openml__breast-w__15,SAINT,algs-gpu-2-datasets-a
openml__breast-w__15,STG,algs-gpu-2-datasets-a
openml__breast-w__15,SVM,cpu-expt
openml__breast-w__15,TabNet,gpu-expt-a
openml__breast-w__15,TabTransformer,algs-gpu-2-datasets-a
openml__breast-w__15,VIME,gpu-expt-a
openml__breast-w__15,XGBoost,gpu-expt-a
openml__breast-w__15,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__breast-w__15,rtdl_MLP,algs-gpu-2-datasets-a
openml__california__361089,CatBoost,gpu-expt-a
openml__california__361089,DANet,algs-gpu-2-datasets-a
openml__california__361089,DecisionTree,cpu-expt
openml__california__361089,DeepFM,algs-gpu-2-datasets-a
openml__california__361089,KNN,cpu-expt
openml__california__361089,LightGBM,cpu-expt
openml__california__361089,LinearModel,cpu-expt
openml__california__361089,MLP,gpu-expt-a
openml__california__361089,NAM,algs-gpu-2-datasets-a
openml__california__361089,NODE,algs-gpu-2-datasets-a
openml__california__361089,RandomForest,cpu-expt
openml__california__361089,SAINT,algs-gpu-2-datasets-a
openml__california__361089,STG,algs-gpu-2-datasets-a
openml__california__361089,SVM,cpu-expt
openml__california__361089,TabNet,gpu-expt-a
openml__california__361089,TabTransformer,algs-gpu-2-datasets-a
openml__california__361089,VIME,gpu-expt-a
openml__california__361089,XGBoost,gpu-expt-a
openml__car-evaluation__146192,CatBoost,algs-gpu-1-datasets-b-v2
openml__car-evaluation__146192,CatBoost,algs-gpu-1-datasets-b-v3
openml__car-evaluation__146192,CatBoost,algs-gpu-1-datasets-b
openml__car-evaluation__146192,DANet,algs-gpu-2-datasets-b
openml__car-evaluation__146192,DecisionTree,algs-cpu-1-datasets-b
openml__car-evaluation__146192,DecisionTree,all-datasets-b
openml__car-evaluation__146192,KNN,algs-cpu-1-datasets-b
openml__car-evaluation__146192,LightGBM,algs-cpu-1-datasets-b
openml__car-evaluation__146192,LinearModel,algs-cpu-1-datasets-b
openml__car-evaluation__146192,LinearModel,all-datasets-b
openml__car-evaluation__146192,MLP,algs-gpu-1-datasets-b-v2
openml__car-evaluation__146192,MLP,algs-gpu-1-datasets-b-v3
openml__car-evaluation__146192,MLP,algs-gpu-1-datasets-b
openml__car-evaluation__146192,NODE,algs-gpu-2-datasets-b
openml__car-evaluation__146192,RandomForest,algs-cpu-1-datasets-b
openml__car-evaluation__146192,STG,algs-gpu-2-datasets-b
openml__car-evaluation__146192,SVM,algs-cpu-1-datasets-b
openml__car-evaluation__146192,TabNet,algs-gpu-1-datasets-b-v3
openml__car-evaluation__146192,TabNet,algs-gpu-1-datasets-b
openml__car-evaluation__146192,TabTransformer,algs-gpu-2-datasets-b
openml__car-evaluation__146192,VIME,algs-gpu-1-datasets-b-v3
openml__car-evaluation__146192,VIME,algs-gpu-1-datasets-b
openml__car-evaluation__146192,XGBoost,algs-gpu-1-datasets-b-v2
openml__car-evaluation__146192,XGBoost,algs-gpu-1-datasets-b-v3
openml__car-evaluation__146192,XGBoost,algs-gpu-1-datasets-b
openml__car-evaluation__146192,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__car-evaluation__146192,rtdl_MLP,algs-gpu-2-datasets-b
openml__car-evaluation__146192,rtdl_ResNet,algs-gpu-2-datasets-b
openml__car__146821,CatBoost,gpu-expt-a
openml__car__146821,DANet,algs-gpu-2-datasets-a
openml__car__146821,DecisionTree,cpu-expt
openml__car__146821,KNN,cpu-expt
openml__car__146821,LightGBM,cpu-expt
openml__car__146821,LinearModel,cpu-expt
openml__car__146821,MLP,gpu-expt-a
openml__car__146821,NODE,algs-gpu-2-datasets-a
openml__car__146821,RandomForest,cpu-expt
openml__car__146821,SAINT,algs-gpu-2-datasets-a
openml__car__146821,STG,algs-gpu-2-datasets-a
openml__car__146821,SVM,cpu-expt
openml__car__146821,TabNet,gpu-expt-a
openml__car__146821,TabTransformer,algs-gpu-2-datasets-a
openml__car__146821,VIME,gpu-expt-a
openml__car__146821,XGBoost,gpu-expt-a
openml__car__146821,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__car__146821,rtdl_MLP,algs-gpu-2-datasets-a
openml__car__146821,rtdl_ResNet,algs-gpu-2-datasets-a
openml__cardiotocography__9979,CatBoost,algs-gpu-1-datasets-b-v2
openml__cardiotocography__9979,CatBoost,algs-gpu-1-datasets-b-v3
openml__cardiotocography__9979,CatBoost,algs-gpu-1-datasets-b
openml__cardiotocography__9979,DANet,algs-gpu-2-datasets-b
openml__cardiotocography__9979,DecisionTree,algs-cpu-1-datasets-b
openml__cardiotocography__9979,DecisionTree,all-datasets-b
openml__cardiotocography__9979,KNN,algs-cpu-1-datasets-b
openml__cardiotocography__9979,LightGBM,algs-cpu-1-datasets-b
openml__cardiotocography__9979,LinearModel,algs-cpu-1-datasets-b
openml__cardiotocography__9979,LinearModel,all-datasets-b
openml__cardiotocography__9979,MLP,algs-gpu-1-datasets-b-v2
openml__cardiotocography__9979,MLP,algs-gpu-1-datasets-b-v3
openml__cardiotocography__9979,MLP,algs-gpu-1-datasets-b
openml__cardiotocography__9979,NODE,algs-gpu-2-datasets-b
openml__cardiotocography__9979,RandomForest,algs-cpu-1-datasets-b
openml__cardiotocography__9979,SAINT,algs-gpu-2-datasets-b
openml__cardiotocography__9979,STG,algs-gpu-2-datasets-b
openml__cardiotocography__9979,SVM,algs-cpu-1-datasets-b
openml__cardiotocography__9979,TabNet,algs-gpu-1-datasets-b-v3
openml__cardiotocography__9979,TabNet,algs-gpu-1-datasets-b
openml__cardiotocography__9979,TabTransformer,algs-gpu-2-datasets-b
openml__cardiotocography__9979,VIME,algs-gpu-1-datasets-b-v3
openml__cardiotocography__9979,VIME,algs-gpu-1-datasets-b
openml__cardiotocography__9979,XGBoost,algs-gpu-1-datasets-b-v2
openml__cardiotocography__9979,XGBoost,algs-gpu-1-datasets-b-v3
openml__cardiotocography__9979,XGBoost,algs-gpu-1-datasets-b
openml__cardiotocography__9979,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__cardiotocography__9979,rtdl_MLP,algs-gpu-2-datasets-b
openml__cardiotocography__9979,rtdl_ResNet,algs-gpu-2-datasets-b
openml__chess__3952,CatBoost,algs-gpu-1-datasets-b-v2
openml__chess__3952,CatBoost,algs-gpu-1-datasets-b-v3
openml__chess__3952,CatBoost,algs-gpu-1-datasets-b
openml__chess__3952,DANet,algs-gpu-2-datasets-b
openml__chess__3952,DecisionTree,algs-cpu-1-datasets-b
openml__chess__3952,DecisionTree,all-datasets-b
openml__chess__3952,KNN,algs-cpu-1-datasets-b
openml__chess__3952,LightGBM,algs-cpu-1-datasets-b
openml__chess__3952,LinearModel,algs-cpu-1-datasets-b
openml__chess__3952,LinearModel,all-datasets-b
openml__chess__3952,MLP,algs-gpu-1-datasets-b-v3
openml__chess__3952,MLP,algs-gpu-1-datasets-b
openml__chess__3952,NODE,algs-gpu-2-datasets-b
openml__chess__3952,RandomForest,algs-cpu-1-datasets-b
openml__chess__3952,STG,algs-gpu-2-datasets-b
openml__chess__3952,SVM,algs-cpu-1-datasets-b
openml__chess__3952,TabNet,algs-gpu-1-datasets-b-v3
openml__chess__3952,TabNet,algs-gpu-1-datasets-b
openml__chess__3952,TabTransformer,algs-gpu-2-datasets-b
openml__chess__3952,VIME,algs-gpu-1-datasets-b-v3
openml__chess__3952,VIME,algs-gpu-1-datasets-b
openml__chess__3952,XGBoost,algs-gpu-1-datasets-b-v2
openml__chess__3952,XGBoost,algs-gpu-1-datasets-b-v3
openml__chess__3952,XGBoost,algs-gpu-1-datasets-b
openml__chess__3952,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__chess__3952,rtdl_MLP,algs-gpu-2-datasets-b
openml__christine__168908,CatBoost,gpu-expt-a
openml__christine__168908,DANet,algs-gpu-2-datasets-a
openml__christine__168908,DecisionTree,cpu-expt
openml__christine__168908,DeepFM,algs-gpu-2-datasets-a
openml__christine__168908,KNN,cpu-expt
openml__christine__168908,LinearModel,cpu-expt
openml__christine__168908,MLP,gpu-expt-a
openml__christine__168908,NAM,algs-gpu-2-datasets-a
openml__christine__168908,NODE,algs-gpu-2-datasets-a
openml__christine__168908,RandomForest,cpu-expt
openml__christine__168908,STG,algs-gpu-2-datasets-a
openml__christine__168908,SVM,cpu-expt
openml__christine__168908,TabNet,gpu-expt-a
openml__christine__168908,TabTransformer,algs-gpu-2-datasets-a
openml__christine__168908,VIME,gpu-expt-a
openml__christine__168908,XGBoost,gpu-expt-a
openml__christine__168908,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__christine__168908,rtdl_MLP,algs-gpu-2-datasets-a
openml__christine__168908,rtdl_ResNet,algs-gpu-2-datasets-a
openml__chscase_foot__5012,CatBoost,algs-gpu-1-datasets-b-v2
openml__chscase_foot__5012,CatBoost,algs-gpu-1-datasets-b-v3
openml__chscase_foot__5012,CatBoost,algs-gpu-1-datasets-b
openml__chscase_foot__5012,DANet,algs-gpu-2-datasets-b
openml__chscase_foot__5012,DecisionTree,algs-cpu-1-datasets-b
openml__chscase_foot__5012,DecisionTree,all-datasets-b
openml__chscase_foot__5012,DeepFM,algs-gpu-2-datasets-b
openml__chscase_foot__5012,KNN,algs-cpu-1-datasets-b
openml__chscase_foot__5012,LightGBM,algs-cpu-1-datasets-b
openml__chscase_foot__5012,LinearModel,algs-cpu-1-datasets-b
openml__chscase_foot__5012,LinearModel,all-datasets-b
openml__chscase_foot__5012,MLP,algs-gpu-1-datasets-b-v2
openml__chscase_foot__5012,MLP,algs-gpu-1-datasets-b-v3
openml__chscase_foot__5012,MLP,algs-gpu-1-datasets-b
openml__chscase_foot__5012,NAM,algs-gpu-2-datasets-b
openml__chscase_foot__5012,NODE,algs-gpu-2-datasets-b
openml__chscase_foot__5012,RandomForest,algs-cpu-1-datasets-b
openml__chscase_foot__5012,STG,algs-gpu-2-datasets-b
openml__chscase_foot__5012,SVM,algs-cpu-1-datasets-b
openml__chscase_foot__5012,TabNet,algs-gpu-1-datasets-b-v3
openml__chscase_foot__5012,TabNet,algs-gpu-1-datasets-b
openml__chscase_foot__5012,TabTransformer,algs-gpu-2-datasets-b
openml__chscase_foot__5012,VIME,algs-gpu-1-datasets-b-v3
openml__chscase_foot__5012,VIME,algs-gpu-1-datasets-b
openml__chscase_foot__5012,XGBoost,algs-gpu-1-datasets-b-v2
openml__chscase_foot__5012,XGBoost,algs-gpu-1-datasets-b-v3
openml__chscase_foot__5012,XGBoost,algs-gpu-1-datasets-b
openml__churn__167141,CatBoost,gpu-expt-a
openml__churn__167141,DANet,algs-gpu-2-datasets-a
openml__churn__167141,DecisionTree,cpu-expt
openml__churn__167141,DeepFM,algs-gpu-2-datasets-a
openml__churn__167141,KNN,cpu-expt
openml__churn__167141,LightGBM,cpu-expt
openml__churn__167141,LinearModel,cpu-expt
openml__churn__167141,MLP,gpu-expt-a
openml__churn__167141,NAM,algs-gpu-2-datasets-a
openml__churn__167141,NODE,algs-gpu-2-datasets-a
openml__churn__167141,RandomForest,cpu-expt
openml__churn__167141,STG,algs-gpu-2-datasets-a
openml__churn__167141,SVM,cpu-expt
openml__churn__167141,TabNet,gpu-expt-a
openml__churn__167141,TabTransformer,algs-gpu-2-datasets-a
openml__churn__167141,VIME,gpu-expt-a
openml__churn__167141,XGBoost,gpu-expt-a
openml__churn__167141,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__churn__167141,rtdl_MLP,algs-gpu-2-datasets-a
openml__churn__167141,rtdl_ResNet,algs-gpu-2-datasets-a
openml__cjs__14967,CatBoost,algs-gpu-1-datasets-b-v2
openml__cjs__14967,CatBoost,algs-gpu-1-datasets-b-v3
openml__cjs__14967,CatBoost,algs-gpu-1-datasets-b
openml__cjs__14967,DecisionTree,algs-cpu-1-datasets-b
openml__cjs__14967,DecisionTree,all-datasets-b
openml__cjs__14967,KNN,algs-cpu-1-datasets-b
openml__cjs__14967,LightGBM,algs-cpu-1-datasets-b
openml__cjs__14967,LinearModel,algs-cpu-1-datasets-b
openml__cjs__14967,LinearModel,all-datasets-b
openml__cjs__14967,MLP,algs-gpu-1-datasets-b-v2
openml__cjs__14967,MLP,algs-gpu-1-datasets-b-v3
openml__cjs__14967,MLP,algs-gpu-1-datasets-b
openml__cjs__14967,NODE,algs-gpu-2-datasets-b
openml__cjs__14967,RandomForest,algs-cpu-1-datasets-b
openml__cjs__14967,STG,algs-gpu-2-datasets-b
openml__cjs__14967,SVM,algs-cpu-1-datasets-b
openml__cjs__14967,TabNet,algs-gpu-1-datasets-b-v3
openml__cjs__14967,TabNet,algs-gpu-1-datasets-b
openml__cjs__14967,TabTransformer,algs-gpu-2-datasets-b
openml__cjs__14967,VIME,algs-gpu-1-datasets-b-v3
openml__cjs__14967,VIME,algs-gpu-1-datasets-b
openml__cjs__14967,XGBoost,algs-gpu-1-datasets-b-v2
openml__cjs__14967,XGBoost,algs-gpu-1-datasets-b-v3
openml__cjs__14967,XGBoost,algs-gpu-1-datasets-b
openml__cjs__14967,rtdl_MLP,algs-gpu-2-datasets-b
openml__cjs__14967,rtdl_ResNet,algs-gpu-2-datasets-b
